frame_number,detection_id,tracking_id,manual_timestamp,wall_time_iso,overlay_time,overlay_date,overlay_gps,overlay_accel_g,overlay_gyro_deg_s,overlay_ok,overlay_conf,overlay_ms,class,confidence,bbox_x,bbox_y,bbox_w,bbox_h,position,distance_m
101,1.0,3.0,16:51:48.000,2025-09-03T00:14:16.776155,,,,,,False,0.0,441.7,bus,0.577,425.3,201.5,165.2,198.3,center,43.6
102,1.0,3.0,16:51:48.100,2025-09-03T00:14:17.492157,,,,,,False,0.0,444.3,truck,0.556,422.3,201.8,169.3,194.6,center,48.6
102,2.0,3.0,16:51:48.100,2025-09-03T00:14:17.492157,,,,,,False,0.0,444.3,bus,0.601,423.5,202.0,171.9,192.8,center,44.9
103,1.0,3.0,16:51:48.200,2025-09-03T00:14:18.208491,,,,,,False,0.0,442.8,truck,0.602,417.5,184.5,168.5,204.1,center,46.4
104,1.0,3.0,16:51:48.300,2025-09-03T00:14:18.924511,,,,,,False,0.0,437.0,bus,0.634,417.9,179.2,167.4,205.4,center,42.1
105,1.0,3.0,16:51:48.400,2025-09-03T00:14:19.629992,,,,,,False,0.0,441.0,bus,0.617,408.9,181.9,171.3,210.7,center,41.1
106,1.0,3.0,16:51:48.500,2025-09-03T00:14:20.351997,,,,,,False,0.0,447.3,bus,0.638,414.6,158.9,171.8,220.0,center,39.3
106,2.0,3.0,16:51:48.500,2025-09-03T00:14:20.351997,,,,,,False,0.0,447.3,truck,0.629,418.4,150.6,171.9,227.0,center,41.7
107,1.0,3.0,16:51:48.600,2025-09-03T00:14:21.072422,,,,,,False,0.0,451.8,bus,0.666,418.8,157.9,169.9,215.1,center,40.2
108,1.0,4.0,16:51:48.700,2025-09-03T00:14:21.803726,,,,,,False,0.0,441.7,car,0.59,642.0,252.0,76.0,60.0,center,67.6
108,2.0,3.0,16:51:48.700,2025-09-03T00:14:21.803726,,,,,,False,0.0,441.7,truck,0.648,396.5,167.8,179.8,219.9,center,43.0
108,3.0,3.0,16:51:48.700,2025-09-03T00:14:21.803726,,,,,,False,0.0,441.7,bus,0.614,389.9,170.7,182.7,222.1,center,39.0
109,1.0,3.0,16:51:48.800,2025-09-03T00:14:22.519816,,,,,,False,0.0,445.8,bus,0.595,388.6,174.4,183.6,221.3,center,39.1
109,2.0,4.0,16:51:48.800,2025-09-03T00:14:22.519816,,,,,,False,0.0,445.8,car,0.581,646.9,256.9,79.5,60.0,center,67.6
109,3.0,3.0,16:51:48.800,2025-09-03T00:14:22.519816,,,,,,False,0.0,445.8,truck,0.598,386.8,175.5,184.6,221.1,center,42.8
110,1.0,4.0,16:51:48.900,2025-09-03T00:14:23.242510,,,,,,False,0.0,442.2,car,0.637,654.7,240.9,84.8,61.4,center,66.1
110,2.0,3.0,16:51:48.900,2025-09-03T00:14:23.242510,,,,,,False,0.0,442.2,bus,0.572,389.7,156.3,187.7,225.2,center,38.4
110,3.0,3.0,16:51:48.900,2025-09-03T00:14:23.242510,,,,,,False,0.0,442.2,truck,0.52,391.3,152.6,187.9,227.2,center,41.7
111,1.0,3.0,16:51:49.000,2025-09-03T00:14:23.955389,,,,,,False,0.0,442.8,bus,0.572,389.0,144.5,189.4,227.8,center,38.0
111,2.0,4.0,16:51:49.000,2025-09-03T00:14:23.955389,,,,,,False,0.0,442.8,car,0.654,665.4,227.7,91.9,66.7,center,60.8
112,1.0,3.0,16:51:49.100,2025-09-03T00:14:24.675114,,,,,,False,0.0,440.6,bus,0.605,388.3,152.5,191.9,232.8,center,37.2
112,2.0,4.0,16:51:49.100,2025-09-03T00:14:24.675114,,,,,,False,0.0,440.6,car,0.652,676.3,228.6,94.1,79.5,center,51.0
113,1.0,3.0,16:51:49.200,2025-09-03T00:14:25.384392,,,,,,False,0.0,441.2,bus,0.661,393.0,157.1,197.6,230.8,center,37.5
113,2.0,4.0,16:51:49.200,2025-09-03T00:14:25.384392,,,,,,False,0.0,441.2,car,0.66,691.5,231.0,102.4,84.1,center,48.3
114,1.0,4.0,16:51:49.300,2025-09-03T00:14:26.100965,,,,,,False,0.0,448.7,car,0.674,693.9,241.5,116.1,87.5,center,46.3
114,2.0,3.0,16:51:49.300,2025-09-03T00:14:26.100965,,,,,,False,0.0,448.7,bus,0.653,384.6,166.8,198.6,231.7,center,37.4
115,1.0,4.0,16:51:49.400,2025-09-03T00:14:26.817004,,,,,,False,0.0,442.8,car,0.676,699.6,242.5,125.1,92.8,center,43.7
115,2.0,3.0,16:51:49.400,2025-09-03T00:14:26.817004,,,,,,False,0.0,442.8,bus,0.709,376.5,174.6,200.3,221.4,center,39.1
116,1.0,4.0,16:51:49.500,2025-09-03T00:14:27.535317,,,,,,False,0.0,438.8,car,0.7,699.2,235.2,139.0,99.9,center,40.6
116,2.0,3.0,16:51:49.500,2025-09-03T00:14:27.535317,,,,,,False,0.0,438.8,bus,0.699,358.6,157.4,205.7,233.0,center,37.1
117,1.0,3.0,16:51:49.600,2025-09-03T00:14:28.253906,,,,,,False,0.0,452.6,bus,0.693,328.8,148.0,212.2,234.4,center,36.9
117,2.0,4.0,16:51:49.600,2025-09-03T00:14:28.253906,,,,,,False,0.0,452.6,car,0.715,690.0,217.5,146.7,109.8,center,36.9
117,3.0,4.0,16:51:49.600,2025-09-03T00:14:28.253906,,,,,,False,0.0,452.6,truck,0.656,687.2,215.1,151.1,109.9,center,86.1
118,1.0,3.0,16:51:49.700,2025-09-03T00:14:28.983808,,,,,,False,0.0,455.3,bus,0.69,303.0,110.2,206.5,242.5,left,35.7
118,2.0,4.0,16:51:49.700,2025-09-03T00:14:28.983808,,,,,,False,0.0,455.3,car,0.669,680.1,181.4,160.8,121.2,center,33.5
119,1.0,4.0,16:51:49.800,2025-09-03T00:14:29.711487,,,,,,False,0.0,441.1,car,0.676,705.2,209.8,185.5,135.8,center,29.9
119,2.0,3.0,16:51:49.800,2025-09-03T00:14:29.711487,,,,,,False,0.0,441.1,bus,0.682,304.4,143.7,209.6,247.8,left,34.9
119,3.0,3.0,16:51:49.800,2025-09-03T00:14:29.711487,,,,,,False,0.0,441.1,truck,0.655,303.4,152.3,215.5,248.6,left,38.1
120,1.0,3.0,16:51:49.900,2025-09-03T00:14:30.443601,,,,,,False,0.0,442.2,bus,0.662,331.1,182.9,213.7,248.9,center,34.8
121,1.0,3.0,16:51:50.000,2025-09-03T00:14:31.154911,,,,,,False,0.0,453.7,bus,0.681,366.7,229.9,209.7,242.0,center,35.8
122,1.0,3.0,16:51:50.100,2025-09-03T00:14:31.882091,,,,,,False,0.0,441.7,bus,0.704,401.9,262.2,202.2,242.0,center,35.8
122,2.0,5.0,16:51:50.100,2025-09-03T00:14:31.882091,,,,,,False,0.0,441.7,car,0.861,932.0,323.0,330.0,210.0,right,19.3
123,1.0,5.0,16:51:50.200,2025-09-03T00:14:32.600446,,,,,,False,0.0,448.0,car,0.858,981.7,327.9,292.9,231.0,right,17.6
123,2.0,3.0,16:51:50.200,2025-09-03T00:14:32.600446,,,,,,False,0.0,448.0,bus,0.749,412.5,279.5,209.1,239.9,center,36.1
124,1.0,3.0,16:51:50.300,2025-09-03T00:14:33.326361,,,,,,False,0.0,447.3,bus,0.809,412.8,268.0,214.6,252.6,center,34.3
124,2.0,5.0,16:51:50.300,2025-09-03T00:14:33.326361,,,,,,False,0.0,447.3,car,0.781,1051.9,308.4,226.5,276.5,right,14.7
125,1.0,3.0,16:51:50.400,2025-09-03T00:14:34.055806,,,,,,False,0.0,443.4,bus,0.816,414.4,266.6,217.0,253.6,center,34.1
